"id"	"gene"	"description"
"R-DRE-6811434"	"STX18"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-450513"	"ZFP36"	"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
"R-DRE-1483248"	"PI4K2B"	"Synthesis of PIPs at the ER membrane"
"R-DRE-1660499"	"PI4K2B"	"Synthesis of PIPs at the plasma membrane"
"R-DRE-1660514"	"PI4K2B"	"Synthesis of PIPs at the Golgi membrane"
"R-DRE-1660516"	"PI4K2B"	"Synthesis of PIPs at the early endosome membrane"
"R-DRE-111448"	"PMAIP1"	"Activation of NOXA and translocation to mitochondria"
"R-DRE-111453"	"PMAIP1"	"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"R-DRE-1799339"	"SRP19"	"SRP-dependent cotranslational protein targeting to membrane"
"R-DRE-2672351"	"ASPH"	"Stimuli-sensing channels"
"R-DRE-5578775"	"ASPH"	"Ion homeostasis"
"R-DRE-2682334"	"EPHA2"	"EPH-Ephrin signaling"
"R-DRE-3928663"	"EPHA2"	"EPHA-mediated growth cone collapse"
"R-DRE-3928665"	"EPHA2"	"EPH-ephrin mediated repulsion of cells"
"R-DRE-9013149"	"EPHA2"	"RAC1 GTPase cycle"
"R-DRE-9013404"	"EPHA2"	"RAC2 GTPase cycle"
"R-DRE-9013408"	"EPHA2"	"RHOG GTPase cycle"
"R-DRE-9013420"	"EPHA2"	"RHOU GTPase cycle"
"R-DRE-9013423"	"EPHA2"	"RAC3 GTPase cycle"
"R-DRE-9013424"	"EPHA2"	"RHOV GTPase cycle"
"R-DRE-9696264"	"EPHA2"	"RND3 GTPase cycle"
"R-DRE-9696270"	"EPHA2"	"RND2 GTPase cycle"
"R-DRE-9696273"	"EPHA2"	"RND1 GTPase cycle"
"R-DRE-1483191"	"SLC44A2"	"Synthesis of PC"
"R-DRE-425366"	"SLC44A2"	"Transport of bile salts and organic acids, metal ions and amine compounds"
"R-DRE-6798695"	"SLC44A2"	"Neutrophil degranulation"
"R-DRE-1483191"	"LPIN1"	"Synthesis of PC"
"R-DRE-1483213"	"LPIN1"	"Synthesis of PE"
"R-DRE-4419969"	"LPIN1"	"Depolymerisation of the Nuclear Lamina"
"R-DRE-75109"	"LPIN1"	"Triglyceride biosynthesis"
"R-DRE-204005"	"PREB"	"COPII-mediated vesicle transport"
"R-DRE-5694530"	"PREB"	"Cargo concentration in the ER"
"R-DRE-6811440"	"GOLGA4"	"Retrograde transport at the Trans-Golgi-Network"
"R-DRE-204005"	"CTSC"	"COPII-mediated vesicle transport"
"R-DRE-2132295"	"CTSC"	"MHC class II antigen presentation"
"R-DRE-5694530"	"CTSC"	"Cargo concentration in the ER"
"R-DRE-6798695"	"CTSC"	"Neutrophil degranulation"
"R-DRE-6798695"	"SURF4"	"Neutrophil degranulation"
"R-DRE-6811434"	"SURF4"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-5362798"	"SCUBE2"	"Release of Hh-Np from the secreting cell"
"R-DRE-6811440"	"ARL1"	"Retrograde transport at the Trans-Golgi-Network"
"R-DRE-8873719"	"RAB21"	"RAB geranylgeranylation"
"R-DRE-8876198"	"RAB21"	"RAB GEFs exchange GTP for GDP on RABs"
"R-DRE-382556"	"DERL2"	"ABC-family proteins mediated transport"
"R-DRE-5358346"	"DERL2"	"Hedgehog ligand biogenesis"
"R-DRE-4086398"	"FZD2"	"Ca2+ pathway"
"R-DRE-4608870"	"FZD2"	"Asymmetric localization of PCP proteins"
"R-DRE-4641262"	"FZD2"	"Disassembly of the destruction complex and recruitment of AXIN to the membrane"
"R-DRE-5140745"	"FZD2"	"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"
"R-DRE-264876"	"SLC30A8"	"Insulin processing"
"R-DRE-435368"	"SLC30A8"	"Zinc efflux and compartmentalization by the SLC30 family"
"R-DRE-212436"	"MED30"	"Generic Transcription Pathway"
"R-DRE-8866907"	"CITED4B"	"Activation of the TFAP2 (AP-2) family of transcription factors"
"R-DRE-204005"	"LMAN2LB"	"COPII-mediated vesicle transport"
"R-DRE-5694530"	"LMAN2LB"	"Cargo concentration in the ER"
"R-DRE-3371453"	"HSPA5"	"Regulation of HSF1-mediated heat shock response"
"R-DRE-983170"	"HSPA5"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
"R-DRE-6798695"	"STK10"	"Neutrophil degranulation"
"R-DRE-8980692"	"STK10"	"RHOA GTPase cycle"
"R-DRE-9013106"	"STK10"	"RHOC GTPase cycle"
"R-DRE-3299685"	"GPX8"	"Detoxification of Reactive Oxygen Species"
"R-DRE-6804115"	"BTG2"	"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain"
"R-DRE-3371378"	"FADD"	"Regulation by c-FLIP"
"R-DRE-5218900"	"FADD"	"CASP8 activity is inhibited"
"R-DRE-5357786"	"FADD"	"TNFR1-induced proapoptotic signaling"
"R-DRE-5357905"	"FADD"	"Regulation of TNFR1 signaling"
"R-DRE-5675482"	"FADD"	"Regulation of necroptotic cell death"
"R-DRE-69416"	"FADD"	"Dimerization of procaspase-8"
"R-DRE-75157"	"FADD"	"FasL/ CD95L signaling"
"R-DRE-75158"	"FADD"	"TRAIL  signaling"
"R-DRE-8980692"	"DDRGK1"	"RHOA GTPase cycle"
"R-DRE-1799339"	"SRP72"	"SRP-dependent cotranslational protein targeting to membrane"
"R-DRE-3769402"	"SOX32"	"Deactivation of the beta-catenin transactivating complex"
"R-DRE-162658"	"RAB1BA"	"Golgi Cisternae Pericentriolar Stack Reorganization"
"R-DRE-204005"	"RAB1BA"	"COPII-mediated vesicle transport"
"R-DRE-6807878"	"RAB1BA"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"RAB1BA"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-8873719"	"RAB1BA"	"RAB geranylgeranylation"
"R-DRE-8876198"	"RAB1BA"	"RAB GEFs exchange GTP for GDP on RABs"
"R-DRE-1474228"	"SI:DKEY-269I1.4"	"Degradation of the extracellular matrix"
"R-DRE-1592389"	"SI:DKEY-269I1.4"	"Activation of Matrix Metalloproteinases"
"R-DRE-2132295"	"SI:DKEY-269I1.4"	"MHC class II antigen presentation"
"R-DRE-1474228"	"SI:DKEY-269I1.4"	"Degradation of the extracellular matrix"
"R-DRE-1592389"	"SI:DKEY-269I1.4"	"Activation of Matrix Metalloproteinases"
"R-DRE-2132295"	"SI:DKEY-269I1.4"	"MHC class II antigen presentation"
"R-DRE-446210"	"UAP1"	"Synthesis of UDP-N-acetyl-glucosamine"
"R-DRE-180024"	"PDE4BA"	"DARPP-32 events"
"R-DRE-204005"	"TMED10"	"COPII-mediated vesicle transport"
"R-DRE-5694530"	"TMED10"	"Cargo concentration in the ER"
"R-DRE-6807878"	"TMED10"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"TMED10"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-390696"	"ADRB3A"	"Adrenoceptors"
"R-DRE-418555"	"ADRB3A"	"G alpha (s) signalling events"
"R-DRE-1237044"	"CAHZ"	"Erythrocytes take up carbon dioxide and release oxygen"
"R-DRE-1247673"	"CAHZ"	"Erythrocytes take up oxygen and release carbon dioxide"
"R-DRE-1475029"	"CAHZ"	"Reversible hydration of carbon dioxide"
